Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
CD4	Protein				P01730			IL7	Protein			uniprot	P13232			negative	I	NONE			cl:CL:0000084					The percentage of CD4 CARGD2.28.OX40 ζ T cells was reduced when the culture medium contained IL7 / IL15 , reaching a value comparable to that of CARGD2.28.4 – 1BB ζ T cells grown in the presence of either IL2 or IL7 / IL15 ( Fig. 4B ) .	PMC5980417	
CD19	Protein				P15391			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813					The statistically significant elevation persisted on days 1 and 7 post CD19 beads stimulation in CD4 and CD8 CD95 , CD11a , CXCR3 , in addition to CD4 CD49d and CD8 integrin-β 7 ( Figures 2 ( b , c ) ) .	PMC8865283	
TNFR2	Protein				P20333			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000738 ++++ cl:CL:0000815					TNFR2 deficiency in knockout mice impairs the proliferative ability of conventional CD4 and CD8 cells and decreases their production of TNF-α , IFN-γ , and IL-2 in response to TCR stimulation ( Kim and Teh , 2001 ; Kim et al ., 2006 , 2008 ) .	PMC8546260	
IL-10	Protein				P22301			CD4	Protein			uniprot	P01730			negative	I	NONE			cl:CL:0000235 ++++ cl:CL:0000738 ++++ cl:CL:0000451 ++++ cl:CL:0000084 ++++ cl:CL:0000763		uberon:UBERON:0000062 ++++ uberon:UBERON:0002048 ++++ uberon:UBERON:0001977 ++++ uberon:UBERON:0002107 ++++ uberon:UBERON:0000105 ++++ uberon:UBERON:0000479			Classically , IL-10 inhibits antigen presenting cells ( APCs ) leading to T cell inhibition , in addition to directly causing CD4 T cell anergy . ++++ Classically , IL-10 inhibits antigen presenting cells ( APCs ) leading to T cell inhibition , in addition to directly causing CD4 T cell anergy .	PMC9872249	
CD40	Protein				P25942			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084 ++++ mesh:D015496		uberon:UBERON:0018707			Preclinical evidence shows that a CD40 agonist , especially when combined with checkpoint inhibition , leads to CD4 T cell – mediated antitumor immune responses ( 50 , 51 ) .	PMC8021099	
CD38	Protein				P28907			CD4	Protein			uniprot	P01730			negative	I	NONE			mesh:D018414 ++++ mesh:D015496 ++++ cl:CL:0000084					HLA-DR CD38 CD4 T cells significantly decreased on days 3 and 5 following gemcitabine administration and then significantly increased on day 8 following anti-CD40 mAb treatment , suggesting CD4 T cell activation ( Figure 2 , C and D ) .	PMC8021099	
CD4	Protein				P01730			CD38	Protein			uniprot	P28907			positive	D	Transcription			cl:CL:0000232 ++++ cl:CL:2000001 ++++ cl:CL:0000815 ++++ mesh:D018414 ++++ cl:CL:0000898 ++++ cl:CL:0000451 ++++ cl:CL:0000084 ++++ cl:CL:0000233 ++++ cl:CL:0000576 ++++ cl:CL:0000813 ++++ cl:CL:0000893					Within the circulating pool , CD38 is expressed by CD4 / CD45RA naive T cells as well as by subset of CD4 CD25 FoxP3 regulatory T cells ( Tregs ) and by a subset of memory T cells ( 19 , 23 ) .	PMC8297441	
SHP-1	Protein				P29350			CD4	Protein			uniprot	P01730			negative	I	NONE			cl:CL:0000236 ++++ cl:CL:0000775 ++++ cl:CL:0000911 ++++ cl:CL:0000815 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:0000014			Specific deletion of SHP-1 in all CD4 T-cells via a floxed Shp1 CD4-cre system in mice demonstrated a key role for SHP-1 in negatively regulating the responsiveness of CD4 T-cells to interleukin-4 signalling , and therefore maintenance of a TH1 phenotype [ 41 ] .	PMC5264497	
SHP-1	Protein				P29350			CD4	Protein			uniprot	P01730			negative	I	NONE			cl:CL:0000236 ++++ cl:CL:0000775 ++++ cl:CL:0000911 ++++ cl:CL:0000815 ++++ cl:CL:0000451 ++++ cl:CL:0000084		uberon:UBERON:0000014			Specific deletion of SHP-1 in all CD4 T-cells via a floxed Shp1 CD4-cre system in mice demonstrated a key role for SHP-1 in negatively regulating the responsiveness of CD4 T-cells to interleukin-4 signalling , and therefore maintenance of a TH1 phenotype [ 41 ] .	PMC5264497	
IL15	Protein				P40933	Other	sl-0487	CD4	Protein			uniprot	P01730	Other	sl-0487	positive	I	NONE			cl:CL:0001063 ++++ cl:CL:0000815 ++++ mesh:D018414 ++++ cl:CL:0000451 ++++ cl:CL:0000084					Recently , intermittent systemic administration of recombinant IL15 has been demonstrated to induce expansion of memory CD4 and CD8 T cells in nonhuman primates ( 44 ) .	PMC2888148	
CD4	Protein				P01730			IL15	Protein			uniprot	P40933			negative	I	NONE			cl:CL:0000084					The percentage of CD4 CARGD2.28.OX40 ζ T cells was reduced when the culture medium contained IL7 / IL15 , reaching a value comparable to that of CARGD2.28.4 – 1BB ζ T cells grown in the presence of either IL2 or IL7 / IL15 ( Fig. 4B ) .	PMC5980417	
STAT-1	Protein				P42224			CD4	Protein			uniprot	P01730			negative	I	Amount			cl:CL:0000738 ++++ mesh:D018414 ++++ cl:CL:0000084 ++++ cl:CL:0000542 ++++ cl:CL:0000813		uberon:UBERON:0002370			Lymphopenia induced proliferation favors expansion of CD8 memory T cells , because CD8 memory T cells express higher levels of a component of the IL-15 receptor ( CD122 ) ( 11 ) and CD4 T cell homeostatic expansion is limited by IL-7-dependent STAT-1 activation ( 12 ) .	PMC7494758	
IL-2	Protein				P60568	Other	sl-0487	CD4	Protein			uniprot	P01730	Other	sl-0487	positive	I	NONE			cl:CL:0000084					When comparing the expansion of the subpopulations T , T , T , and T during CART culture , significant differences were observed under distinct culture conditions : IL-7 / IL-15 cytokine stimulation led to an increase of T , T , CD4+ , CXCR3+ , CD62L+ , γ/δ TCR+ , T , PD-1+ , T , HLA-DR+ , Tim-3+ , and CD4+ CD8+ CART cells , whereas an IL-2 culture condition stimulated T , CD56+ , immunosuppressive CD4 − CD8 − and CD4+ T CART cells .	PMC5767585	
CD4	Protein				P01730			IL-2	Protein			uniprot	P60568			positive	I	NONE								CD4 LLO56 CD28 and CD4 LL0118 CD28 produced more IL-2 than other TCR-SCS constructs which suggested that their heightened stable expression may promote IL-2 production ( Figures 5F , G ) . ++++ CD4 LLO56 CD28 and CD4 LL0118 CD28 produced more IL-2 than other TCR-SCS constructs which suggested that their heightened stable expression may promote IL-2 production ( Figures 5F , G ) . ++++ In contrast , intermediate affinity LLO56 flTCR IL-2 production is inhibited by CD4 Lck sequestration , as CD4 produced significantly less IL-2 than CD4T ( p = 0.0162 ) ( Figure 6F ) . ++++ CD4 LLO56 flTCR cells produced significantly more IL-2 than any clone expressing CD4 ( CD4 p < 0.0001 , CD4T p = 0.0019 , and CD4T Δ bind p = 0.0002 ) ( Figure 6F ) .	PMC7851051	
CD4	Protein				P01730			IL-2	Protein			uniprot	P60568			positive	I	NONE			cl:CL:0001063 ++++ uaz:UAZ54C2A063656C6C ++++ uaz:UAZ54C2A063656C6C73					Strikingly , both CD4 and CD8 Hu08BBz CAR T cells produced IFN γ , IL-2 , and TNF-α when co-cultured with the osteosarcoma cell lines ( BW-KOSA , CS-KOSA , MC-KOSA , and SK-KOSA ) , while a lower percentage of CD4 and CD8 Hu08BBz CAR T cells produced these cytokines in response to GL-1 , Cacal3 , and Cacal5 tumor cell lines ( Figure 5C ) .	PMC6174845	
CD4	Protein				P01730			IL-2	Protein			uniprot	P60568			positive	I	NONE		atcc:CCL-86	mesh:D018414 ++++ cl:CL:0000084					Sommermeyer et al. determined an ideal cell cocktail to contain 1:1 CD8 CAR-T to CD4 CAR-T cells in a mouse model of Raji lymphoma [ 7 ] , suggesting that IL-2 produced by CD4 cells drives optimal proliferation of CD8 CAR-T cells , which are then the main component of anti-tumor cytotoxicity [ 7,19,24,25 ] .	PMC7279007	
IL-2	Protein				P60568	Other	sl-0162	CD4	Protein			uniprot	P01730	Other	sl-0162	positive	I	NONE		cellosaurus:CVCL_B488	uaz:UAZ54C2A063656C6C ++++ uaz:UAZ54C2A063656C6C73					We found that the combination of IL-2 and IL-7 increased the long-term survival of mouse CD4 transduced T cells .	PMC8353356	
IL-2	Protein				P60568			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084 ++++ mesh:D018414 ++++ cl:CL:0000911					IL-7 , IL-15 and IL-21 are important for CD8 T cell memory formation and maintenance ( 71 ) , while IL-2 promotes the expansion of both CD4 and CD8 T cells , thus augmenting the effector T-cell response ( 72 ) .	PMC6509561	
CD4	Protein				P01730			IL-2	Protein			uniprot	P60568			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001064					At the highest CAR affinity , more CAR T-cells spend time in effector , non proliferative states ( Supplementary Figure S11 ) , resulting in fewer total CD4 T-cells producing IL-2 ( Figure 2A ) .	PMC9315201	
CD4	Protein				P01730			IL-2	Protein			uniprot	P60568			positive	I	NONE		cellosaurus:CVCL_3772 ++++ atcc:CCL-86	cl:CL:0000084					Efficacy correlated with markedly greater proliferation of CD8 CAR-T-cells , suggesting that IL-2 produced by CD4 T-cells ( T > T > T ) was important in sustaining the CD8 T-cell response .	PMC4746098	
4-1BB	Protein				Q07011			CD4	Protein			uniprot	P01730			positive	I	NONE			mesh:D018414 ++++ cl:CL:0000084 ++++ cl:CL:0000236					Interpretation of the differential role of 4-1BB signal in CD4 and CD8 CAR-T cells can be aided by using purified CD4 or CD8 T cells in the future .	PMC7691374	
4-1BB	Protein				Q07011			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000037 ++++ cl:CL:0000084					For anti-HIV-1 CARs , recent studies showed that both CD28 and 4-1BB enhanced the anti-HIV-1 function of CD4 based CAR transduced peripheral T cells in vitro [ 14 ] , and a 4-1BB containing CAR allowed better expansion and control of HIV-1 spread in vivo [ 14 , 41 ] .	PMC8016106	
IL-16	Protein				Q14005	Other	sl-0487	CD4	Protein			uniprot	P01730	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_0207	cl:CL:0000037 ++++ cl:CL:0000084 ++++ cl:CL:2000074					Full length CD4CAR T cells responded to both Env+ and IL-16 cytokine stimulation , suggesting non specific signaling via IL-16 mediated CD4 dimerization ( Fig 4B and 4C ) .	PMC8016106	
IL-16	Protein				Q14005	Other	sl-0487	CD4	Protein			uniprot	P01730	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_0207	cl:CL:0000037 ++++ cl:CL:0000084 ++++ cl:CL:2000074					Full length CD4CAR T cells responded to both Env+ and IL-16 cytokine stimulation , suggesting non specific signaling via IL-16 mediated CD4 dimerization ( Fig 4B and 4C ) .	PMC8016106	
CLEC12A	Protein				Q5QGZ9			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084					Hutten et al. showed CLEC12A / CLL-1 on DCs was an efficient and promising vehicle to present antigen to augment specific CD4 and CD8 T cell immune response against cancer , simultaneously and that the antibody binding did not influence phenotype and function of DCs [ 8] . ++++ Hutten et al. showed CLEC12A / CLL-1 on DCs was an efficient and promising vehicle to present antigen to augment specific CD4 and CD8 T cell immune response against cancer , simultaneously and that the antibody binding did not influence phenotype and function of DCs [ 8] .	PMC6480870	
T-bet	Protein				Q9UL17			CD4	Protein			uniprot	P01730			positive	I	NONE			cl:CL:0000084 ++++ mesh:D015496					This suggests that T-bet may be enhancing CD4 effector cell function through pathways independent of the direct signaling pathway triggered by the CAR . ++++ This suggests that T-bet may be enhancing CD4 effector cell function through pathways independent of the direct signaling pathway triggered by the CAR .	PMC6021366	
interleukin-6	Protein				P05231			C-reactive protein	Protein			uniprot	P02741			positive	I	NONE			cl:CL:0000084		uberon:UBERON:0000062			The acute phase reactant , C-reactive protein , is produced by interleukin-6 , which is used as a laboratory marker for the onset and severity of CRS [ 35 ] .	PMC8310625	
CXCL10	Protein				P02778			APCs	Protein			uniprot	P02743			positive	I	NONE			cl:CL:0000738 ++++ cl:CL:0000084 ++++ mesh:D018414					To ascertain whether ultrasound administration of CXCL9 or CXCL10 APCs was therapeutically effective , we implanted C57BL/6 mice with GL261 cells and gave them 1 × 10 CXCL9 or CXCL10 overexpressing APCs intracranially or intravenously with or without ultrasound ( Fig. 5F ) .	PMC9012394	
APCs	Protein				P02743			CXCL10	Protein			uniprot	P02778			positive	I	NONE			cl:CL:0000084		uberon:UBERON:0002371			APCs producing the T-cell attracting chemokine CXCL10 were efficacious when combined with LIPU .	PMC9012394	
ICAM1	Protein				P05362	Other	sl-0162	APCs	Protein			uniprot	P02743	Other	sl-0162	positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000542					Also , intercellular adhesion molecule 1 ( ICAM1 ) located on mature DC derived sEV surface specifically interacts with the lymphocyte function associated antigen 1 ( LFA-1 ) receptor and thus allow sEVs to enter the antigen presenting cells ( APCs ) ( 13 ) . ++++ Also , intercellular adhesion molecule 1 ( ICAM1 ) located on mature DC derived sEV surface specifically interacts with the lymphocyte function associated antigen 1 ( LFA-1 ) receptor and thus allow sEVs to enter the antigen presenting cells ( APCs ) ( 13 ) .	PMC8810553	
CD40L	Protein				P29965	Other	sl-0162 ++++ uniprot:sl-0487	APCs	Protein			uniprot	P02743	Other	sl-0162 ++++ uniprot:sl-0487	positive	I	NONE			cl:CL:0000084		uberon:UBERON:0002405			Moreover , artificial overexpression of CD40L on the surface of CAR-T cells can also stimulate the endogenous immune system via the CD40L mediated activation of APCs and the subsequent priming of endogenous T cell responses [ 102 ] .	PMC8773791	
TLR9	Protein				Q9NR96			APCs	Protein			uniprot	P02743			positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0000784 ++++ cl:CL:0000236		uberon:UBERON:0002405			Generally applied as vaccine adjuvants , TLR9 agonist CpG-oligodeoxynucleotides ( CpG-ODNs ) stimulate antigen presenting cells ( APCs ) and plasmacytoid dendritic cells ( pDCs ) to secrete interferon ( IFN )-alpha/beta , which activates natural killer ( NK ) cells .	PMC8750340	
FOXP3	Protein				B7ZLG1			GC	Protein			uniprot	P02774			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813		uberon:UBERON:0002391			It is well known that HP is the main pathogenic factor of GC and studies have shown that the expression level of FOXP3 T in HP infected patients is significantly higher than that in non infected patients ( 18 ) , and the number of FOXP3 T is significantly elevated in gastritis and GC in HP infected patients ( 19 ) .	PMC9549957	
TNF	Protein				P01375			CXCL10	Protein			uniprot	P02778			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063 ++++ mesh:D018414 ++++ cl:CL:0000235		uberon:UBERON:0000479 ++++ uberon:UBERON:2005032			Some chemokines , such as CCL5 ( RANTES ) , CXCL10 and CCL2 induced by TNF α , also have been reported to locally recruit both CAR T cells and endogenous T cells when combined with adenoviral OV and mesothelin redirected CAR T cells in pancreatic ductal adenocarcinoma model ( 26 ) .	PMC9638445	
CXCL10	Protein				P02778			APCs	Protein			uniprot	P02743			positive	I	NONE			cl:CL:0000738 ++++ cl:CL:0000084 ++++ mesh:D018414					To ascertain whether ultrasound administration of CXCL9 or CXCL10 APCs was therapeutically effective , we implanted C57BL/6 mice with GL261 cells and gave them 1 × 10 CXCL9 or CXCL10 overexpressing APCs intracranially or intravenously with or without ultrasound ( Fig. 5F ) .	PMC9012394	
APCs	Protein				P02743			CXCL10	Protein			uniprot	P02778			positive	I	NONE			cl:CL:0000084		uberon:UBERON:0002371			APCs producing the T-cell attracting chemokine CXCL10 were efficacious when combined with LIPU .	PMC9012394	
GM-CSF	Protein				P04141			CXCL10	Protein			uniprot	P02778			positive	I	NONE		cellosaurus:CVCL_1905 ++++ cellosaurus:CVCL_M543	cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000767 ++++ cl:CL:0000771 ++++ cl:CL:0000815 ++++ cl:CL:0000863 ++++ cl:CL:0000910 ++++ cl:CL:0000546 ++++ cl:CL:0000576		uberon:UBERON:4300023 ++++ uberon:UBERON:0002048			GM-CSF , bacterial products , and interferon-γ trigger the M1 subtype , which secrete pro inflammatory molecules , including interleukin ( IL )-1, IL-6 , IL-12 , IL-23 , TNF-α , nitric oxide ( NO ) , C-X-C motif chemokine ligand ( CCXCL ) 9 , CXCL10 , CXCL11 , and reactive oxygen species .	PMC8750340	
IL-6	Protein				P05231			IP-10	Protein			uniprot	P02778			positive	I	NONE		cellosaurus:CVCL_3772			uberon:UBERON:0014778			Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) .	PMC6804784	
IL-10	Protein				P22301			IP-10	Protein			uniprot	P02778			positive	I	NONE		cellosaurus:CVCL_3772			uberon:UBERON:0014778			Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) .	PMC6804784	
MLR	Protein				P08235			CD71	Protein			uniprot	P02786			positive	I	NONE			cl:CL:0000815 ++++ cl:CL:0000542					We first confirmed in a mixed lymphocyte reaction ( MLR ) that A2-CAR TCR Tregs upregulated CD71 only in the presence of the PBMCs from the HLA-A2 donor used for the immune reconstitution ( Supplementary Figure 6B ) .	PMC8488356	
CART	Protein				Q16568			era	Protein			uniprot	P03372			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000236					It thus led us into a new era of immunotherapy .	PMC6791516	
PAR1	Protein				P25116.t			matrix metalloproteinase 1	Protein			uniprot	P03956			negative	I	Amount			cl:CL:0001064 ++++ cl:CL:0001063					Additionally , the targeted elimination of PAR1 expressing tumors reduced the level of matrix metalloproteinase 1 ( MMP1 ) , which acts as a tumorigenesis promoter .	PMC10478223	
IL-6	Protein				P05231			GM-CSF	Protein			uniprot	P04141			positive	I	NONE		cellosaurus:CVCL_3772			uberon:UBERON:0014778			Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) . ++++ Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) .	PMC6804784	
CD19	Protein				P15391			CSF	Protein			uniprot	P04141			positive	I	NONE								Cytokine mediated endothelial activation and damage were noted in patients who developed neurotoxicity after CD19 CAR-T infusion , which enabled the transit of high concentrations of systemic cytokines into the CSF [ 14 ] .	PMC8131494	
SCF	Protein				P21583	Other	sl-0431	GM-CSF	Protein			uniprot	P04141	Other	sl-0431	positive	I	NONE		cellosaurus:CVCL_1619	cl:CL:0001063					This model was chosen , as NSG-SGM3 mice constitutively produce IL-3 , GM-CSF , and stem cell factor ( SCF ) , which reflects physiological conditions of a human host and promotes the engraftment of AML cells [ 25 , 30 ] . ++++ This model was chosen , as NSG-SGM3 mice constitutively produce IL-3 , GM-CSF , and stem cell factor ( SCF ) , which reflects physiological conditions of a human host and promotes the engraftment of AML cells [ 25 , 30 ] .	PMC9007937	
IL-10	Protein				P22301			GM-CSF	Protein			uniprot	P04141			positive	I	NONE		cellosaurus:CVCL_3772			uberon:UBERON:0014778			Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) . ++++ Infusion of either BBz CAR-T or 28z CAR-T cells induced an elevation in multiple interleukins ( ILs ) , such as IL-6 and IL-10 , and inflammatory cytokines , such as granulocyte colony stimulating factor ( G-CSF ) , granulocyte-macrophage colony stimulating factor ( GM-CSF ) , interferon inducible protein-10 ( IP-10 ) , and monocyte chemotactic protein 1 ( MCP-1 ) .	PMC6804784	
BCMA	Protein				Q02223	Other	sl-0487	GM-CSF	Protein			uniprot	P04141	Other	sl-0487	positive	I	Amount		cellosaurus:CVCL_0014	cl:CL:0000084 ++++ cl:CL:0000235					Finally , compared with that of control T cells , the BCMA directed CAR T cells expressed higher levels of IFN γ , IL2 , TNF α , GM-CSF , Granzyme B , and macrophage inflammatory protein 1 ( MIP-1 ) when cocultured with RPMI8226 cells , a human BCMA multiple myeloma cell line ( Supplementary Fig. S3 ) .	PMC9401500	
Ornithine decarboxylase 1	Protein				P11926			MYCN	Protein			uniprot	P04198			negative	I	NONE			cl:CL:0001064					Ornithine decarboxylase 1 ( ODC1 ) , the first and rate limiting enzyme in polyamine biosynthesis is a well characterized Myc and MYCN target gene , and high ODC1 levels were significantly associated with reduced event-free survival in neuroblastoma patients [ 153 ] .	PMC4633945	
CD34	Protein				P28906	Other	sl-0487	II	Protein			uniprot	P04233	Other	sl-0487	positive	I	NONE			cl:CL:0000235 ++++ cl:CL:0011026 ++++ cl:CL:0000034		uberon:UBERON:0000178			To evaluate CAR expression and function in M Φ s derived from primary cells , CD34 hematopoietic stem and progenitor cells ( HSPCs ) were isolated from cord blood samples ; expanded in the stem cell supporting medium StemSpan ™ SFEM II supplemented with 50 ng/mL hTPO , 100 ng/mL hSCF , and 100 ng/mL hFLT3 ; and transduced with our CAR constructs ( Figure 3A ) .	PMC8947001	
ADAMTS13	Protein				Q76LX8	Other	go:0033093	VWF	Protein			uniprot	P04275	Other	go:0033093	positive	I	NONE			cl:CL:0000233 ++++ cl:CL:0000236		uberon:UBERON:0000178 ++++ uberon:UBERON:0002107			In addition , cytokines IL-6 , TNF-α , and IFN-γ can directly inhibit the production and activity of ADAMTS13 , which contributes to the elevated levels VWF in blood and promote platelet adhesion and aggregation ( 166 , 167 ) .	PMC9226391	
RNA-binding protein MEX3B	Protein				Q6ZN04			HLA-A	Protein			uniprot	P04439			negative	I	NONE			cl:CL:0000084					HLA-A down-regulation is mediated e.g ., by the RNA binding protein MEX3B [ 155 ] , by loss of function mutations in the genes encoding the interferon-receptor associated Janus kinase 1 ( JAK1 ) or Janus kinase 2 ( JAK2 ) [ 156,157,158 ] or by truncating mutations in the gene encoding β 2m [ 156 ] .	PMC7215892	
RNA-binding protein MEX3B	Protein				Q6ZN04			HLA-A	Protein			uniprot	P04439			positive	I	NONE			cl:CL:0000084					HLA-A down-regulation is mediated e.g ., by the RNA binding protein MEX3B [ 155 ] , by loss of function mutations in the genes encoding the interferon-receptor associated Janus kinase 1 ( JAK1 ) or Janus kinase 2 ( JAK2 ) [ 156,157,158 ] or by truncating mutations in the gene encoding β 2m [ 156 ] .	PMC7215892	
epidermal growth factor receptor	Protein				P00533			HER2	Protein			uniprot	P04626			negative	I	NONE								It is a monoclonal antibody against human epidermal growth factor receptor 2 ( HER2 ) ; it prevents HER2 mediated signaling by binding to an extracellular domain of this receptor that inhibits HER2 homodimerization [ 25 ] .	PMC8508330	
epidermal growth factor receptor	Protein				P00533			HER2	Protein			uniprot	P04626			negative	I	NONE								It is a monoclonal antibody against human epidermal growth factor receptor 2 ( HER2 ) ; it prevents HER2 mediated signaling by binding to an extracellular domain of this receptor that inhibits HER2 homodimerization [ 25 ] .	PMC8508330	
HER2	Protein				P04626			CAR	Protein			uniprot	P36575			positive	I	NONE		cellosaurus:CVCL_6353	cl:CL:0000084 ++++ mesh:D018414 ++++ mesh:D015496					Mechanistically , this was associated with increased cytokine production of CD8 + CAR T cells and increased activation of both CD8 + and CD4 + CAR T cells .	PMC5330718	
CAR	Protein				P36575			HER2	Protein			uniprot	P04626			negative	I	NONE			cl:CL:0000084					In addition , repeated injections of HER2 directed CAR T cells eliminated spontaneous HER2 positive tumors and enhanced survival in transgenic mice .	PMC6540776	
HER2	Protein				P04626			CAR	Protein			uniprot	P36575			positive	I	NONE			cl:CL:0000084					In addition , repeated injections of HER2 directed CAR T cells eliminated spontaneous HER2 positive tumors and enhanced survival in transgenic mice .	PMC6540776	
Her-2	Protein				P04626	Other	sl-0487	CAR	Protein			uniprot	P36575	Other	sl-0487	negative	I	NONE			cl:CL:0000084		uberon:UBERON:0007023			The use of human or humanized antibody fragments for CAR construction , rather than those derived from mouse antibodies , such as the production of modified CD19 and Her-2 CAR-T , combination of humanized or fully human fragments , and modification of the extracellular hinge region and/or transmembrane domain , can reduce the immunogenicity of the CAR ( Hombach et al ., 2010 ; Jonnalagadda et al ., 2015 ) .	PMC8790321	
CAR	Protein				P36575			HER2	Protein			uniprot	P04626			positive	I	NONE		cellosaurus:CVCL_2142 ++++ cellosaurus:CVCL_0004 ++++ cellosaurus:CVCL_0179						In Vitro Comparison of HER2 Specific Cytotoxicity Mediated by NK-92 CD16 + Trastuzumab or NK-92 CAR .	PMC4664810	
HER2	Protein				P04626			CAR	Protein			uniprot	P36575			negative	I	NONE			cl:CL:0000084					More recently , Duong et al. [ 33 ] demonstrated that HER2 specific CAR T cells bearing the DAP10 , CD27 and CD3z inhibited tumor growth to a greater degree than T cells expressing the CD28z CAR , suggesting an important role of CD27 costimulation .	PMC4673284	
CAR	Protein				P36575			HER2	Protein			uniprot	P04626			positive	I	NONE		cellosaurus:CVCL_1218	cl:CL:0000084					Here , we present RB-340-1 , as an all-in-one T cell product that couples anti-human epidermal growth factor receptor 2 ( HER2 ) CAR signaling to CRISPRi mediated PD-1 gene suppression to prolong CAR-T cell persistence and enhance treatment outcomes .	PMC8573881	
HER2	Protein				P04626			CAR	Protein			uniprot	P36575			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063					However , our recent findings with PSCA- and HER2 directed CAR T cells show that while CD28 containing CAR T cells exhibit potent anti-tumor activity in solid tumors , undesirable increases in T cell exhaustion markers , limited persistence , and targeting of tumor cells that express very low levels of antigen may potentiate off-tumor toxicity , compared with 4-1BB-containing CARs ( 22 , 24 ) .	PMC6254427	
HER2	Protein				P04626			CAR	Protein			uniprot	P36575			positive	I	NONE			cl:CL:0000084					Further combining this approach with a CD44v6 specific BiTE and the immunostimulatory IL-12 — all expressed by the same virus — significantly improved tumor control , mediated by HER2 specific CAR T-cells and non transgenic native TCRs engaged via the BiTE included [ 274 ] .	PMC9454442	
BiTE	Protein				Q8NHQ1			HER2	Protein			uniprot	P04626			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063					A HER2 ( Nb )/CD3 ( scFv ) BiTE , termed BiHC ( bispecific HER2-CD3 antibody ) , could significantly activate T cells and increase the cytotoxicity of HER2 tumor cells ( 53 ) .	PMC9905824	
PD-L1	Protein				Q9NZQ7			HER2	Protein			uniprot	P04626			negative	I	NONE		cellosaurus:CVCL_0532						In contrast , uncontrolled tumor growth of PD-L1 SKOV3 cells was observed in the mice treated with low-affinity HER2 CAR-T cells ( Fig. 7f ) , indicating that PD-L1 significantly impaired the antitumor activity of low-affinity HER2 CAR-T cells .	PMC7607631	
